County,lon,lat
Duplin,-77.943361815691,34.936095548654
Franklin,-78.3408577834837,36.0478256036721
Halifax,-77.6730120023953,36.3531525575506
Harnett,-78.8470323730707,35.3598629092851
Johnston,-78.4119372134736,35.5602634224292
Nash,-77.9238423620513,35.947410628078
Sampson,-78.3962469809241,35.0338391097255
Wake,-78.6730202218885,35.7972028987517
Warren,-78.1385327351707,36.4097146178238
Wayne,-77.9884451583227,35.3707308454776
Lee,-79.1731311318045,35.4597794125393
Moore,-79.4468256994912,35.2446177408977
Richmond,-79.733494946697,34.9436040631446
Scotland,-79.4786682443787,34.7863335466991
Brunswick,-78.2290047148961,34.0363696855005
Columbus,-78.7091869491549,34.2792696154945
New Hanover,-77.879263788979,34.2116869751119
Pender,-77.8361122981788,34.4694759418389
Carteret,-76.8044095662188,34.7467733572492
Craven,-77.0387075726197,35.0667576782764
Jones,-77.3531343796907,35.0274543916084
Onslow,-77.4006457056173,34.7415453110782
Pamlico,-76.7758743603926,35.105356175213
Edgecombe,-77.656321149756,35.9037363521715
Greene,-77.6695426416534,35.4687755686733
Lenoir,-77.6318526204723,35.2623228437516
Pitt,-77.3811829204986,35.5791702882163
Wilson,-77.9313138328656,35.7269878099564
Chatham,-79.2364826359657,35.7441237851035
Durham,-78.9061980156622,35.9898006403226
Granville,-78.6570807593631,36.2238549369284
Orange,-79.0812652360371,35.9785959840808
Person,-78.9709022411312,36.3734219183306
Vance,-78.4020997167012,36.3311777621637
